action,group,payoff,player,round,reputation,avg_action,wealth
1.0,9,-150,5,45,reputation = 0,0.4782608695652174,2350.0
,9,250,5,46,reputation = 0,0.4782608695652174,2600.0
1.0,9,-150,5,47,reputation = 0,0.5,2450.0
0.0,9,0,5,48,reputation = 0,0.48,2450.0
0.0,9,0,5,49,reputation = 0,0.46153846153846156,2450.0
0.0,9,0,5,50,reputation = 0,0.4444444444444444,2450.0
,9,0,5,51,reputation = 0,0.4444444444444444,2450.0
,9,0,5,52,reputation = 0,0.4444444444444444,2450.0
,9,0,5,53,reputation = 0,0.4444444444444444,2450.0
,9,0,5,54,reputation = 0,0.4444444444444444,2450.0
0.0,9,0,5,55,reputation = 0,0.42857142857142855,2450.0
,9,0,5,56,reputation = 0,0.42857142857142855,2450.0
0.0,9,0,5,57,reputation = 0,0.41379310344827586,2450.0
,9,250,5,58,reputation = 0,0.41379310344827586,2700.0
,9,0,5,59,reputation = 0,0.41379310344827586,2700.0
,9,0,5,60,reputation = 0,0.41379310344827586,2700.0
0.0,9,0,5,61,reputation = 0,0.4,2700.0
0.0,9,0,5,62,reputation = 0,0.3870967741935484,2700.0
,9,0,5,63,reputation = 0,0.3870967741935484,2700.0
0.0,9,0,5,64,reputation = 0,0.375,2700.0
,9,0,5,65,reputation = 0,0.375,2700.0
0.0,9,0,5,66,reputation = 0,0.36363636363636365,2700.0
0.0,9,0,5,67,reputation = 0,0.35294117647058826,2700.0
0.0,9,0,5,68,reputation = 0,0.34285714285714286,2700.0
0.0,9,0,5,69,reputation = 0,0.3333333333333333,2700.0
0.0,9,0,5,70,reputation = 0,0.32432432432432434,2700.0
,9,0,5,71,reputation = 0,0.32432432432432434,2700.0
1.0,9,-150,5,72,reputation = 0,0.34210526315789475,2550.0
,9,0,5,73,reputation = 0,0.34210526315789475,2550.0
0.0,9,0,5,74,reputation = 0,0.3333333333333333,2550.0
0.0,9,0,5,75,reputation = 0,0.325,2550.0
,9,0,5,76,reputation = 0,0.325,2550.0
0.0,9,0,5,77,reputation = 0,0.3170731707317073,2550.0
0.0,9,0,5,78,reputation = 0,0.30952380952380953,2550.0
0.0,9,0,5,79,reputation = 0,0.3023255813953488,2550.0
,9,0,5,80,reputation = 0,0.3023255813953488,2550.0
0.0,9,0,5,81,reputation = 0,0.29545454545454547,2550.0
,9,0,5,82,reputation = 0,0.29545454545454547,2550.0
,9,0,5,83,reputation = 0,0.29545454545454547,2550.0
,9,0,5,84,reputation = 0,0.29545454545454547,2550.0
